Aaron Cresswell,32,Fri Dec 15 01:00:00 CET 1989,Premier League,2018/2019,Defender,0,England,0,0,0,0,0
Aaron Lennon,34,Thu Apr 16 02:00:00 CEST 1987,Premier League,2018/2019,Midfielder,0,England,1,1,0,0,0
Aaron Mooy,31,Sat Sep 15 02:00:00 CEST 1990,Premier League,2018/2019,Midfielder,0,Australia,3,1,2,1,0
Aaron Ramsey,31,Wed Dec 26 01:00:00 CET 1990,Premier League,2018/2019,Midfielder,0,Wales,4,2,2,0,0
Aaron Rowe,21,Thu Sep 07 02:00:00 CEST 2000,Premier League,2018/2019,Forward,0,England,0,0,0,0,0
Aaron Wan-Bissaka,24,Wed Nov 26 01:00:00 CET 1997,Premier League,2018/2019,Midfielder,0,England,0,0,0,0,0
Abdelhamid Sabiri,25,Thu Nov 28 01:00:00 CET 1996,Premier League,2018/2019,Midfielder,0,Morocco,0,0,0,0,0
Abdoulaye Doucouré,29,Fri Jan 01 01:00:00 CET 1993,Premier League,2018/2019,Midfielder,0,France,5,3,2,0,0
Aboubakar Kamara,26,Tue Mar 07 01:00:00 CET 1995,Premier League,2018/2019,Forward,0,France,3,1,2,1,1
Adalberto Peñaranda Maestre,24,Sat May 31 02:00:00 CEST 1997,Premier League,2018/2019,Forward,0,Venezuela,0,0,0,0,0
Adam David Lallana,33,Tue May 10 02:00:00 CEST 1988,Premier League,2018/2019,Midfielder,0,England,0,0,0,0,0
Adam Masina,28,Sun Jan 02 01:00:00 CET 1994,Premier League,2018/2019,Defender,0,Italy,0,0,0,0,0
Adam Smith,30,Mon Apr 29 02:00:00 CEST 1991,Premier League,2018/2019,Defender,0,England,1,1,0,0,0
Adama Diakhaby,25,Fri Jul 05 02:00:00 CEST 1996,Premier League,2018/2019,Forward,0,France,0,0,0,0,0
Adama Traoré Diarra,25,Thu Jan 25 01:00:00 CET 1996,Premier League,2018/2019,Midfielder,0,Spain,1,0,1,0,0
Ademola Lookman,24,Mon Oct 20 02:00:00 CEST 1997,Premier League,2018/2019,Forward,0,England,0,0,0,0,0
Adrian Mariappa,35,Fri Oct 03 01:00:00 CET 1986,Premier League,2018/2019,Defender,0,Jamaica,0,0,0,0,0
Adrián San Miguel del Castillo,35,Sat Jan 03 01:00:00 CET 1987,Premier League,2018/2019,Goalkeeper,0,Spain,0,0,0,0,0
Adrien Sebastian Perruchet Silva,32,Wed Mar 15 01:00:00 CET 1989,Premier League,2018/2019,Midfielder,0,Portugal,0,0,0,0,0
Ainsley Maitland-Niles,24,Fri Aug 29 02:00:00 CEST 1997,Premier League,2018/2019,Midfielder,0,England,1,0,1,0,0
Alberto Moreno,29,Sun Jul 05 02:00:00 CEST 1992,Premier League,2018/2019,Defender,0,Spain,0,0,0,0,0
Aleksandar Mitrović,27,Fri Sep 16 02:00:00 CEST 1994,Premier League,2018/2019,Forward,0,Serbia,11,8,3,1,0
Alex Iwobi,25,Fri May 03 02:00:00 CEST 1996,Premier League,2018/2019,Forward,0,Nigeria,3,1,2,0,0
